CalcDate,Code,prev_close,open_price,high_price,low_price,volume,close_price,amount,vwap,turnover
2022-04-19,689009.SH,40.3,40.41,40.41,38.8,845732.0,39.26,33326785.000000004,39.40584605998118,0.0016619345344640228
2022-04-20,689009.SH,39.26,39.26,39.36,38.25,569642.0,38.57,22096423.0,38.79001723889741,0.001119394456022895
2022-04-21,689009.SH,38.57,38.3,38.79,36.95,701557.0,37.5,26341540.0,37.54725560432011,0.0013786185295045909
2022-04-22,689009.SH,37.5,36.94,37.69,36.5,336582.0,36.83,12484701.0,37.092598534681,0.0006614119478498741
2022-04-25,689009.SH,36.83,36.69,36.69,33.51,997184.0,35.0,34727592.0,34.825661061549326,0.001959550456663544
2022-04-26,689009.SH,35.0,35.8,35.86,34.0,875142.0,34.59,30714538.0,35.09663346062696,0.0017197276588327198
2022-04-27,689009.SH,34.59,35.02,35.5,33.5,1067833.0,35.0,37059870.0,34.705679633425824,0.0020983816856170994
2022-04-28,689009.SH,35.0,34.48,34.88,33.05,1560294.0,34.38,52826037.0,33.856463589554274,0.00306610898312587
2022-04-29,689009.SH,34.38,34.3,38.1,34.0,2735479.0,37.18,99444025.0,36.353422928854506,0.005375446380651449
2022-05-05,689009.SH,37.18,36.04,38.0,36.04,2816809.0,36.52,103761942.0,36.83669783787257,0.005535266673235812
2022-05-06,689009.SH,36.52,35.62,36.46,34.51,1581903.0,36.05,56287158.0,35.58192758974476,0.0031085724861684805
2022-05-09,689009.SH,36.05,36.0,36.04,34.22,3895516.0000000005,34.8,136957244.0,35.15766435049939,0.007655016683721502
2022-05-10,689009.SH,34.8,34.0,35.77,33.86,4075425.0,35.32,142171736.0,34.88513124398069,0.008008553005110414
2022-05-11,689009.SH,35.32,35.57,37.89,35.21,6311301.0,36.58,227317211.0,36.017488470285286,0.012402237457371037
2022-05-12,689009.SH,36.58,35.79,36.62,34.95,4116071.0,35.48,147038095.0,35.72292484750628,0.008088425814804057
2022-05-13,689009.SH,35.48,35.6,35.85,34.44,2804460.0,34.81,98258141.0,35.03638525776798,0.005510999849270186
2022-05-16,689009.SH,34.81,35.38,35.97,35.19,2448865.0,35.2,87014378.0,35.532533643136716,0.004812225756788485
2022-05-17,689009.SH,35.2,35.0,37.99,34.55,5541981.0,37.38,201910920.0,36.43298668833401,0.010890458931722413
2022-05-18,689009.SH,37.38,37.36,44.18,36.99,9967297.0,43.79,404401629.0,40.57284828574888,0.019586577189416567
2022-05-19,689009.SH,43.79,42.14,42.97,40.46,6392381.0,41.56,265650200.0,41.557316436551574,0.012561566478922004
2022-05-20,689009.SH,41.56,41.58,45.48,41.03,7062742.999999999,43.05,304903602.0,43.17070605570669,0.01387888420887945
2022-05-23,689009.SH,43.05,43.15,43.15,41.2,4198468.0,42.04,176196971.0,41.96696771298483,0.008250342852158955
2022-05-24,689009.SH,42.04,41.68,41.98,39.66,4489294.0,39.92,182363252.0,40.62181091280723,0.008821840410392572
