factor,mean,min,max,std
Factor level0/high_frequency/hf_volatility/inday_vardown_1min,3400.802651,1982,5115,1022.907565
Factor level0/high_frequency/hf_momentum/inday_vwap_diff_hlvol,3402.565538,1982,5115,1022.796229
Factor level0/high_frequency/hf_momentum/inday_amap_orig,3404.235641,1983,5114,1021.504136
Factor level0/high_frequency/hf_volatility/inday_err_ret,3405.20324,1983,5115,1021.375719
Factor level0/behavior/momentum/mom_mdr12m,3494.091311,1983,5366,1038.029365
Factor level0/high_frequency/hf_liquidity/inday_vol_utd,3406.843888,1984,5115,1020.566285
Factor level0/high_frequency/hf_momentum/inday_incvol_mom,3408.170839,1984,5115,1020.345313
Factor level0/behavior/momentum/mom_12m_1m,3493.562592,1984,5366,1037.605409
Factor level0/behavior/volatility/ff_resskew_3m,3254.852725,1985,5363,1011.583122
Factor level0/fundamental/growth/gp_margin_rank_delta,3419.397644,1986,5233,1002.166861
Factor level0/behavior/momentum/ampl_slicecp1m,3449.519882,1986,5374,1082.481316
Factor level0/behavior/momentum/mom_ltampl_v2,3449.519882,1986,5374,1082.481316
Factor level0/behavior/momentum/mom_slicevol1m,3449.519882,1986,5374,1082.481316
Factor level0/behavior/volatility/ff_resvol_3m,3258.765832,1987,5363,1010.331818
Factor level0/behavior/liquidity/mif_1m,3450.596465,1987,5374,1081.805911
Factor level0/behavior/momentum/mom_1m,3450.596465,1987,5374,1081.805911
Factor level0/behavior/momentum/mom_1m_intraday,3450.596465,1987,5374,1081.805911
Factor level0/behavior/momentum/mom_1m_overnight,3450.596465,1987,5374,1081.805911
Factor level0/behavior/momentum/mom_new1m,3450.596465,1987,5374,1081.805911
Factor level0/fundamental/earning/gp_margin_qtr,3456.039764,1987,5275,1020.320402
Factor level0/fundamental/growth/tax_yoy,3477.188513,1987,5303,1029.136553
Factor level0/behavior/volatility/ff_reskurt_6m,3269.354934,1988,5361,1008.085016
Factor level0/behavior/correlation/ff_r2_2m,3246.142857,1989,5363,1014.698815
Factor level0/behavior/momentum/ff_alpha_2m,3246.391753,1990,5363,1014.435796
Factor level0/behavior/momentum/ff_mom_2m,3246.391753,1990,5363,1014.435796
Factor level0/fundamental/growth/gp_margin_yoy,3443.123711,1990,5236,1002.752248
Factor level0/behavior/volatility/ff_resskew_6m,3270.69514,1991,5363,1007.855478
Factor level0/fundamental/growth/tax_rank_delta,3482.16053,1991,5311,1028.239958
Factor level0/behavior/volatility/ff_resvol_6m,3272.966127,1992,5363,1007.831602
Factor level0/fundamental/earning/roic_qtr,3457.5243,1992,5278,1021.830548
Factor level0/behavior/correlation/ff_r2_3m,3262.217968,1994,5363,1007.906079
Factor level0/behavior/momentum/ff_alpha_3m,3262.217968,1994,5363,1007.906079
Factor level0/behavior/momentum/ff_mom_3m,3262.217968,1994,5363,1007.906079
Factor level0/fundamental/growth/gp_margin_accv,3441.360825,1995,5231,1000.013915
Factor level0/behavior/momentum/mom_2m,3472.310751,1995,5377,1067.668487
Factor level0/fundamental/growth/gp_margin_ttm_yoy,3444.132548,1996,5237,1002.415666
Factor level0/behavior/correlation/ff_r2_6m,3274.032401,1997,5363,1007.027057
