ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
300953.SZ,20250818,123.71,6.6921,8.9392,84.5088,78.2238,5.5543,3.0105,2.8697,17347.7731,12475.3594,9339.3741,2146093.0102,1543326.7114,0
600246.SH,20250818,9.58,21.4805,32.5435,,,3.6873,36.5928,33.917,189041.2476,189041.2476,124777.3546,1811015.152,1811015.152,-1
600739.SH,20250818,12.65,2.0517,3.6285,92.3417,41.2575,0.6545,1.7141,1.6978,152970.9816,152970.9816,86496.4382,1935082.9172,1935082.9172,0
300790.SZ,20250818,27.03,11.8634,12.3053,55.0903,52.6283,4.1654,3.6862,3.6247,37411.8981,29707.6275,28640.769,1011243.6056,802997.1713,0
300054.SZ,20250818,29.97,3.765,4.1574,54.3656,48.7973,6.0679,8.4814,8.1968,94454.3607,73443.5485,66511.5252,2830797.1902,2201103.1485,0
688049.SH,20250818,54.67,5.5805,7.399,89.8494,68.6491,5.0717,14.6906,13.2023,17516.765,17516.765,13211.6263,957641.5426,957641.5426,0
301069.SZ,20250818,25.59,13.8096,29.0363,192.2615,176.5808,7.2373,11.6002,11.2433,42064.1138,39196.1138,18641.5738,1076420.6721,1003028.5521,0
688130.SH,20250818,25.32,6.7553,10.6473,,,2.4247,22.6997,21.0837,12089.1094,6028.5094,3824.8534,306096.25,152641.858,0
688319.SH,20250818,27.69,4.179,6.4907,541.5033,283.2694,12.2242,19.0883,18.5621,40593.36,40540.93,26101.9915,1124030.1384,1122578.3517,0
688395.SH,20250818,27.97,7.1017,17.7461,64.0228,62.2521,3.1985,6.6035,6.3546,8659.772,8659.772,3465.512,242213.8228,242213.8228,0
601388.SH,20250818,2.6,1.8248,3.4047,308.535,504.8305,1.3415,0.8177,0.7931,220122.2616,220122.2616,117976.163,572317.8802,572317.8802,0
600449.SH,20250818,13.95,2.2904,4.494,27.6309,26.8452,0.9304,0.7709,0.8375,47818.1042,47818.1042,24370.5938,667062.5536,667062.5536,0
831526.BJ,20250818,34.08,12.0227,24.7508,120.8263,129.5129,12.9314,24.5021,24.543,8270.0,5236.7486,2543.7467,281841.6,178468.3923,0
301365.SZ,20250818,18.66,8.8722,8.8722,99.6727,98.6111,1.9661,6.3388,6.3617,18000.0,4635.0,4635.0,335880.0,86489.1,0
600608.SH,20250818,4.1,0.7551,0.9315,,,35.1988,78.2697,87.7376,32886.1441,31837.1441,25809.9759,134833.1908,130532.2908,0
688102.SH,20250818,16.28,2.6396,5.8324,104.2322,97.5968,10.5539,8.9552,8.588,73142.3882,73142.3882,33102.5715,1190758.0799,1190758.0799,0
300081.SZ,20250818,5.72,8.3928,9.3783,,,2.9455,9.2231,9.5634,60479.5417,60470.3842,54115.9021,345942.9785,345890.5976,0
603051.SH,20250818,20.4,3.1733,5.4141,175.8266,480.2041,1.9973,1.4409,1.6142,14596.7405,14596.7405,8555.4892,297773.5062,297773.5062,0
000966.SZ,20250818,4.54,0.9565,2.2861,22.0965,40.3706,1.1866,0.9087,0.958,348103.5016,326152.282,136454.6365,1580389.8973,1480731.3603,0
600101.SH,20250818,10.18,2.7785,4.0517,26.645,28.1796,1.8593,1.9622,1.8431,54786.2471,54786.2471,37570.2847,557723.9955,557723.9955,0
605296.SH,20250818,32.08,0.9455,7.0501,24.5144,18.3212,3.3926,3.015,2.8185,52483.9012,52456.4418,7035.3461,1683683.5505,1682802.6529,0
002144.SZ,20250818,12.3,2.975,3.2245,77.8035,78.6729,1.056,3.5164,3.5051,17676.2528,13764.4276,12699.4253,217417.9094,169302.4595,0
300485.SZ,20250818,14.52,7.3737,9.8705,,43.2424,2.0588,16.7926,17.5071,48166.64,27381.7182,20455.2484,699379.6128,397582.5483,0
688181.SH,20250818,38.63,14.8076,18.6174,67.8167,89.9396,2.5258,7.0453,6.6837,13448.1546,13448.1546,10696.1673,519502.2122,519502.2122,0
301609.SZ,20250818,50.51,22.4639,22.4639,64.9666,63.7697,7.0835,12.5012,12.2789,16288.0,3475.0244,3475.0244,822706.88,175523.4824,0
301345.SZ,20250818,171.93,6.976,6.976,43.3078,40.028,6.1227,6.2746,6.0327,10863.1741,2868.3741,2868.3741,1867705.523,493159.559,0
600461.SH,20250818,9.22,0.7769,1.4169,9.9497,9.8791,1.3083,1.4392,1.4804,128415.5178,128415.5178,70411.7799,1183991.0741,1183991.0741,0
603117.SH,20250818,5.49,1.8374,2.6861,240.9507,285.5083,3.2326,11.1689,11.4253,59919.7742,59919.7742,40986.75,328959.5604,328959.5604,0
600405.SH,20250818,7.47,9.2277,10.2741,,,14.6096,7.8379,8.3303,61282.9588,61011.9397,54798.0782,457783.7022,455759.1896,0
831906.BJ,20250818,24.22,5.9509,8.8951,89.8856,96.3891,2.893,2.1843,2.1928,6497.0,3318.3223,2219.9631,157357.34,80369.7661,0
601956.SH,20250818,7.17,4.687,8.8712,35.0548,35.8469,1.7968,0.7141,0.7094,62178.204,62161.659,32842.6548,445817.7227,445699.095,0
300389.SZ,20250818,12.15,1.9752,3.7965,38.3646,54.4651,3.0107,1.2244,1.2375,36910.0317,23318.1321,12131.6017,448456.8852,283315.305,0
301123.SZ,20250818,47.29,10.2515,29.1543,,,3.8805,6.4586,6.2705,23360.0,23360.0,8214.0794,1104694.4,1104694.4,1
000663.SZ,20250818,6.87,2.6293,4.1573,,,2.3218,7.1591,7.2047,33668.3929,30630.1196,19372.3995,231301.8592,210428.9217,0
