ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000160.SH,20250815,1905.3272,1886.1499,1914.0558,1886.1499,1891.1707,14.1565,0.7486,64856336.0,56116642.528,2025-08-15 17:53:38
000161.SH,20250815,1593.5067,1555.8572,1594.7028,1555.8572,1559.2818,34.2249,2.1949,56728743.0,117188712.278,2025-08-15 17:53:38
000162.SH,20250815,3607.0307,3509.5131,3609.0276,3509.5131,3529.1357,77.895,2.2072,31668507.0,69956150.306,2025-08-15 17:53:38
000170.SH,20250815,5879.5067,5836.565,5897.393,5814.527,5852.6603,26.8464,0.4587,42172254.0,100779892.04,2025-08-15 20:09:17
000171.CSI,20250815,1467.2232,1429.235,1471.0853,1429.1923,1433.8032,33.42,2.3309,51703504.04,221894357.346,2025-08-15 17:53:38
000300.SH,20250815,4202.3533,4162.4205,4214.7291,4157.495,4173.3131,29.0402,0.6959,261327566.0,518686873.501,2025-08-15 17:53:38
000510.CSI,20250815,4985.8298,4926.2869,4997.9853,4925.5437,4939.0546,46.7752,0.947,347190020.0,675311339.215,2025-08-15 17:53:38
000510.SH,20250815,4985.8298,4926.2869,4997.9853,4925.5437,4939.0546,46.7752,0.947,347190020.0,675311339.215,2025-08-15 17:53:38
000680.SH,20250815,1423.1483,1387.5823,1423.9949,1387.5823,1391.9989,31.1494,2.2377,50360939.0,204440158.097,2025-08-15 17:53:38
000681.SH,20250815,1374.7826,1340.4254,1375.6005,1340.4254,1344.6919,30.0907,2.2377,50360939.0,204440158.1,2025-08-15 15:09:19
000682.SH,20250815,1538.0363,1502.6051,1541.6547,1498.5998,1511.7142,26.3221,1.7412,8350271.0,59336993.838,2025-08-15 17:53:38
000683.SH,20250815,1246.102,1225.5588,1251.1784,1214.6703,1228.1994,17.9026,1.4576,2938626.0,15719260.52,2025-08-15 17:53:38
000685.SH,20250815,1955.9437,1906.2805,1965.4245,1899.9862,1918.6985,37.2452,1.9412,7108884.0,60501675.862,2025-08-15 17:53:38
000687.SH,20250815,1167.1076,1136.6182,1167.2923,1136.2616,1136.049,31.0586,2.7339,5668299.0,19568355.083,2025-08-15 17:53:38
000688.SH,20250815,1101.2931,1079.1607,1104.4999,1076.9974,1085.7358,15.5573,1.4329,9527128.0,53157191.843,2025-08-15 17:53:38
000689.SH,20250815,993.4015,958.867,993.4345,958.867,960.0608,33.3407,3.4728,5624676.0,17387373.562,2025-08-15 17:53:38
000690.SH,20250815,1390.5897,1356.6614,1391.4134,1356.6614,1363.0509,27.5388,2.0204,5614024.0,47358530.383,2025-08-15 17:53:38
000691.SH,20250815,1195.2899,1168.6675,1197.647,1168.6675,1170.4962,24.7937,2.1182,5706367.0,35006425.661,2025-08-15 17:53:38
000692.SH,20250815,996.0979,960.1173,996.4687,960.1173,959.9398,36.1581,3.7667,7466912.0,15769281.469,2025-08-15 17:53:38
000693.SH,20250815,1276.6569,1241.7019,1276.9403,1241.3467,1242.2277,34.4292,2.7716,4556016.0,15253324.873,2025-08-15 17:53:38
000695.SH,20250815,880.2853,859.116,882.2077,858.0956,859.7814,20.5039,2.3848,6989903.0,31088363.182,2025-08-15 17:53:38
000697.SH,20250815,1186.7999,1153.4215,1190.8691,1152.6398,1155.5261,31.2738,2.7065,4999177.0,19705085.714,2025-08-15 17:53:38
000698.SH,20250815,1258.9965,1217.8552,1261.6032,1217.8341,1219.2223,39.7742,3.2623,11218519.0,52380055.283,2025-08-15 17:53:38
000699.SH,20250815,1202.601,1170.5582,1202.601,1170.5582,1170.1831,32.4179,2.7703,18372004.0,61113178.368,2025-08-15 17:53:38
000802.SH,20250815,6847.8062,6687.3464,6853.7907,6687.3464,6698.8476,148.9586,2.2236,136336065.0,178820017.507,2025-08-15 17:53:38
000805.CSI,20250815,5478.4935,5352.0712,5489.0915,5352.0712,5367.4768,111.0167,2.0683,36321513.41,51926460.953,2025-08-15 17:53:38
000806.CSI,20250815,8594.0766,8543.294,8622.8723,8516.277,8570.2757,23.8009,0.2777,87919146.24,190432568.5,2025-08-15 17:53:38
000807.CSI,20250815,19126.523,19066.6002,19177.3332,18988.027,19093.966,32.557,0.1705,6103579.91,25908784.367,2025-08-15 17:53:38
000808.CSI,20250815,9228.773,9132.8709,9265.6296,9109.1034,9156.4238,72.3492,0.7901,18874723.49,54134549.48,2025-08-15 17:53:38
000811.CSI,20250815,7813.7573,7600.0522,7848.0721,7600.0522,7651.5351,162.2222,2.1201,37487967.1,61015830.965,2025-08-15 17:53:38
000811.SH,20250815,7813.7573,7600.0522,7848.0721,7600.0522,7651.5351,162.2222,2.1201,37487967.1,61015830.965,2025-08-15 17:53:38
000812.CSI,20250815,6257.0943,6117.1434,6282.0922,6117.1434,6135.9549,121.1394,1.9743,31386578.99,65360634.937,2025-08-15 17:53:38
000812.SH,20250815,6257.0943,6117.1434,6282.0922,6117.1434,6135.9549,121.1394,1.9743,31386578.99,65360634.937,2025-08-15 17:53:38
000813.CSI,20250815,2953.9385,2883.1731,2957.5601,2883.1731,2890.0748,63.8637,2.2098,16944535.96,28735057.817,2025-08-15 17:53:38
000813.SH,20250815,2953.9385,2883.1731,2957.5601,2883.1731,2890.0748,63.8637,2.2098,16944535.96,28735057.817,2025-08-15 17:53:38
000814.SH,20250815,9096.1672,9016.4126,9138.479,8991.8353,9049.9316,46.2356,0.5109,9232368.0,32955227.728,2025-08-15 17:53:38
