ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
688327.SH,20250820,51106.0,5629.58,32726.77,4770.56,27762.7,26236.51,152375.61,27406.01,159146.25,45082.5,261774.42,43904.21,254936.6,36206.27,210392.24,37074.08,215423.49,-13761.06,-81200.6
002706.SZ,20250820,56751.0,3459.91,30157.0,4828.71,42177.18,12321.1,107424.4,14268.36,124531.77,17663.05,154180.5,18139.34,158236.4,20327.36,177431.45,16535.01,144248.0,-7399.81,-64844.87
601868.SH,20250820,69223.0,12659.97,511653.5,12484.16,503312.61,20510.62,828342.82,18949.32,765019.28,26334.78,1063636.27,26419.18,1067245.28,31543.81,1274002.61,33196.52,1342058.03,-3020.84,-128980.2
603386.SH,20250820,53340.0,1186.58,7380.0,288.22,1820.8,5286.61,33120.6,5449.09,34154.4,10108.28,63227.4,9726.02,60754.0,22246.08,139102.8,23364.21,146101.6,-121.52,-820.0
300296.SZ,20250820,84638.0,11427.74,169895.61,8269.05,123191.07,33797.0,502842.81,30024.78,446689.15,39495.8,588046.4,38359.67,571215.11,27738.94,413149.16,35805.97,532838.65,7739.24,113926.16
600497.SH,20250820,81605.0,7600.59,128327.0,12458.02,210198.01,28679.15,484670.21,28343.5,479339.74,43437.13,734030.7,40025.72,676380.64,40787.03,689154.99,39676.66,670264.51,13929.69,234762.7
002027.SZ,20250820,78267.0,23858.34,293117.69,14615.34,179550.43,53865.16,660357.16,36281.88,445382.19,36449.17,447558.76,52778.27,647421.13,21823.18,268022.0,32320.37,396701.86,28326.22,346245.71
000090.SZ,20250820,9942.0,1121.68,31198.04,1134.74,31696.0,1973.73,54957.35,1748.41,48690.0,2551.42,71138.1,3096.52,86210.28,3045.85,84824.6,2713.01,75521.81,-1290.83,-36381.21
600729.SH,20250820,13502.0,1515.55,5088.0,1315.92,4399.0,2370.92,7923.0,2369.65,7936.0,5868.02,19652.0,5672.31,18993.0,8589.15,28780.93,8985.77,30115.93,2170.73,7205.79
603093.SH,20250820,63113.0,1417.24,5732.0,1606.62,6503.0,12321.07,50053.0,9452.99,38349.0,24170.06,98171.0,23009.2,93389.76,37193.43,151110.0,41032.97,166824.24,-18637.54,-75924.28
603048.SH,20250820,17483.0,105.44,517.0,176.98,863.0,1893.58,9213.98,1649.86,8014.98,6824.77,33281.0,6409.79,31240.06,10264.57,50103.08,10851.73,52997.02,-1378.1,-6874.86
002687.SZ,20250820,8033.0,0.0,0.0,0.0,0.0,571.37,11848.05,1202.66,24957.54,1402.17,29084.2,1447.26,30009.27,2194.49,45520.19,1518.1,31485.63,320.72,6572.78
300502.SZ,20250820,155182.0,300611.65,121499.27,344091.62,139457.84,335145.72,135411.72,293098.31,118456.13,276821.59,111854.73,278518.47,112316.13,122456.2,49474.8,119326.75,48010.42,11090.59,4238.12
688244.SH,20250820,7103.0,722.38,2648.51,663.8,2431.83,2431.9,8914.13,2156.56,7922.31,3535.8,12971.87,3406.76,12482.37,4732.81,17358.42,5195.77,19056.42,-2181.89,-8055.77
603883.SH,20250820,17056.0,1409.21,7558.2,716.29,3832.62,5749.44,30807.82,6565.36,35184.55,10366.08,55554.44,9995.02,53560.69,11020.33,59057.02,11268.39,60399.62,-5128.26,-27569.18
000926.SZ,20250820,25643.0,2332.56,78322.0,4693.57,158492.4,5477.11,184842.0,6910.15,232844.4,6704.31,225964.8,6607.4,222482.0,7504.03,252965.6,3806.88,128275.6,-4540.04,-152575.6
300406.SZ,20250820,10214.0,229.87,1542.0,414.36,2785.0,3201.61,21423.0,2743.21,18364.0,3249.85,21761.0,4082.36,27309.0,3967.85,26547.0,3409.26,22815.0,-1036.77,-6983.0
301408.SZ,20250820,19920.0,687.65,4553.0,1310.56,8664.0,4967.94,32806.0,4497.58,29705.0,8757.63,57884.0,7841.74,51859.59,7661.2,50693.0,8424.54,55707.41,-3944.41,-26196.82
000055.SZ,20250820,7996.0,289.94,6912.0,690.97,16494.5,1191.16,28427.0,1510.58,36089.52,2031.77,48511.77,1952.78,46623.0,2487.34,59413.41,1845.88,44057.16,585.83,13825.68
688265.SH,20250820,7797.0,119.85,195.03,507.29,832.59,3271.33,5328.7,3905.04,6384.9,8612.41,14065.57,7594.31,12395.0,8083.0,13227.23,8079.94,13204.04,-1965.52,-3232.17
601698.SH,20250820,66944.0,9251.35,44615.06,7899.1,38072.81,25372.56,122322.54,25929.07,124988.31,35732.61,172272.5,35487.82,171085.34,38914.58,187695.34,39955.12,192758.98,8676.95,41496.32
