TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
000916.SH,20250815,3582.5709,3585.4566,3975.1957,3585.4566,3892.9176,5384414605.0,201338032582.0,310.3467,0.086627
000917.SH,20250815,2542.3464,2542.8132,2544.6388,2503.6835,2507.0996,3933198399.0,35409712935.0,-35.2468,-0.013864
399913.SZ,20250815,8810.0888,8813.3942,9188.977,8802.5144,9058.1176,2910518900.0,126332957420.2,248.0288,0.028153
399914.SZ,20250815,6786.8924,6785.8664,6876.6868,6741.9748,6835.3426,35518029100.0,471515575862.6,48.4502,0.007139
399355.SZ,20250815,3503.1147,3503.1391,3616.5007,3492.8496,3595.2428,14451382982.0,383103242879.2,92.1281,0.026299
399356.SZ,20250815,9700.7472,9709.5288,9974.684,9704.476,9945.18,13061713470.0,338433161749.9,244.4328,0.025197
399357.SZ,20250815,3112.2289,3114.197,3210.0289,3099.7792,3161.2762,25977346497.0,373078725700.3,49.0473,0.01576
000018.SH,20250815,5982.4278,5981.8219,6035.8129,5905.3003,5966.8401,25222654300.0,308806885066.0,-15.5877,-0.002606
000019.SH,20250815,1171.0722,1172.1016,1181.5497,1166.9662,1172.886,50672599900.0,763918024337.0,1.8138,0.001549
000918.SH,20250815,4144.8181,4147.632,4330.112,4147.632,4302.189,21498276553.0,862244436552.0,157.3709,0.037968
399918.SZ,20250815,4144.8181,4147.632,4330.112,4147.632,4302.189,21498276553.0,862244436552.0,157.3709,0.037968
000919.SH,20250815,5247.4114,5251.9986,5280.6694,5189.5891,5229.4908,50233026155.0,529720874175.0,-17.9206,-0.003415
000920.SH,20250815,3419.042,3447.7474,3570.3243,3447.7474,3570.3243,62178438574.0,1713811135888.0,151.2823,0.044247
000921.SH,20250815,4382.5076,4380.0308,4393.9587,4377.4753,4393.9587,86516198189.0,1230333220615.0,11.4511,0.002613
000020.SH,20250815,1445.6296,1448.3606,1527.3938,1448.3606,1526.6675,52951253900.0,1173580274509.0,81.0379,0.056057
